Name,None None
Tax Year,2025
txn_id,currency,created_date,side,amount,thb_exec_price,thb_exec_val,fee,thb_net
SPECBUY0023026494,SPEC,2025/12/22 04:41,Sell,335.4973262,3.74,1251.61,3.14,1254.75
SPECBUY0023026476,SPEC,2025/12/22 04:40,Sell,45.29144385,3.74,168.95,0.43,169.38
SPECBUY0023026517,SPEC,2025/12/22 04:42,Sell,45.39304812,3.74,169.33,0.43,169.76
SPECSELL0018033419,SPEC,2025/12/29 14:59,Buy,987.94535519,3.66,3615.88,9.07,3624.95
SPECSELL0018015624,SPEC,2025/12/22 10:13,Buy,1047.02702703,3.7,3874.0,9.69,3883.69
SPECBUY0022957973,SPEC,2025/11/16 14:36,Sell,654.31416549,7.13,4653.58,11.67,4665.25
SPECBUY0022942903,SPEC,2025/11/10 16:51,Sell,495.69583931,6.97,3446.35,8.64,3454.99
SPECBUY0022958481,SPEC,2025/11/16 23:29,Sell,361.88467153,6.85,2472.7,6.2,2478.9
SPECBUY0022950231,SPEC,2025/11/13 18:09,Sell,290.94857142,7.0,2031.53,5.1,2036.63
SPECBUY0022957983,SPEC,2025/11/16 14:38,Sell,882.14666401,7.13,6273.97,15.73,6289.7
SPECBUY0022959356,SPEC,2025/11/17 19:55,Sell,120.2997076,6.84,820.78,2.06,822.84
SPECSELL0017823481,SPEC,2025/11/07 07:14,Buy,300.0,6.01,1803.0,4.51,1807.51
SPECBUY0022950229,SPEC,2025/11/13 18:09,Sell,435.0,7.0,3037.38,7.62,3045.0
SPECBUY0022950247,SPEC,2025/11/13 18:10,Sell,472.42857142,7.0,3298.72,8.27,3306.99
SPECBUY0023026518,SPEC,2025/12/22 04:42,Sell,45.19251336,3.74,168.58,0.43,169.01
SPECBUY0023026508,SPEC,2025/12/22 04:41,Sell,45.30213903,3.74,168.99,0.43,169.42
SPECBUY0023026500,SPEC,2025/12/22 04:41,Sell,54.47593582,3.74,203.22,0.51,203.73
SPECBUY0023026496,SPEC,2025/12/22 04:41,Sell,950.80213903,3.74,3547.1,8.89,3555.99
SPECBUY0023026497,SPEC,2025/12/22 04:41,Sell,327.91978609,3.74,1223.34,3.07,1226.41
SPECBUY0022958476,SPEC,2025/11/16 23:27,Sell,495.32846715,6.85,3384.5,8.49,3392.99
SPECSELL0017843788,SPEC,2025/11/12 00:01,Buy,101.85939968,6.33,644.77,1.62,646.39
SPECBUY0022942921,SPEC,2025/11/10 17:05,Sell,163.74175035,6.97,1138.41,2.86,1141.27
SPECSELL0017912218,SPEC,2025/11/23 11:48,Buy,545.66666667,6.0,3274.0,8.19,3282.19
SPECBUY0022968209,SPEC,2025/11/22 15:39,Sell,544.16243654,5.91,3207.95,8.04,3215.99
SPECBUY0022932661,SPEC,2025/11/06 21:19,Sell,588.71207865,7.12,4181.14,10.48,4191.62
